FID;PROVNO;KABKOTNO;KECNO;DESANO;PROVINSI;KABKOT;KECAMATAN;DESA;ID2013;Pdk;kelas
0;73;71;60;4;SULAWESI SELATAN;MAKASSAR;WAJO;MELAYU;7371060004;15.438.000.000.000.000.000;Sedang
1;73;71;60;7;SULAWESI SELATAN;MAKASSAR;WAJO;MALIMONGAN;7371060007;15.438.000.000.000.000.000;Sedang
2;73;71;60;8;SULAWESI SELATAN;MAKASSAR;WAJO;MALIMONGAN TUA;7371060008;15.438.000.000.000.000.000;Sedang
3;73;71;60;6;SULAWESI SELATAN;MAKASSAR;WAJO;MAMPU;7371060006;15.438.000.000.000.000.000;Sedang
4;73;71;60;5;SULAWESI SELATAN;MAKASSAR;WAJO;BUTUNG;7371060005;15.438.000.000.000.000.000;Sedang
5;73;71;60;3;SULAWESI SELATAN;MAKASSAR;WAJO;MELAYU BARU;7371060003;15.438.000.000.000.000.000;Sedang
6;73;71;60;2;SULAWESI SELATAN;MAKASSAR;WAJO;ENDE;7371060002;15.438.000.000.000.000.000;Sedang
7;73;71;60;1;SULAWESI SELATAN;MAKASSAR;WAJO;PATTUNUANG;7371060001;15.438.000.000.000.000.000;Sedang
8;73;71;50;1;SULAWESI SELATAN;MAKASSAR;UJUNG PANDANG;LAE - LAE;7371050001;10.752.000.000.000.000.000;Sedang
9;73;71;80;1;SULAWESI SELATAN;MAKASSAR;UJUNG TANAH;KODINGARENG;7371080001;8.229.000.000.000.000.000;Rendah
10;73;71;80;2;SULAWESI SELATAN;MAKASSAR;UJUNG TANAH;BARRANG CADDI;7371080002;8.229.000.000.000.000.000;Rendah
11;73;71;80;3;SULAWESI SELATAN;MAKASSAR;UJUNG TANAH;BARRANG LOMPO;7371080003;8.229.000.000.000.000.000;Rendah
12;73;71;80;4;SULAWESI SELATAN;MAKASSAR;UJUNG TANAH;UJUNG TANAH;7371080004;8.229.000.000.000.000.000;Rendah
13;73;71;80;5;SULAWESI SELATAN;MAKASSAR;UJUNG TANAH;TAMALABBA;7371080005;8.229.000.000.000.000.000;Rendah
14;73;71;80;8;SULAWESI SELATAN;MAKASSAR;UJUNG TANAH;PATTINGALLOANG;7371080008;8.229.000.000.000.000.000;Rendah
15;73;71;80;10;SULAWESI SELATAN;MAKASSAR;UJUNG TANAH;PATTINGALLOANG BARU;7371080010;8.229.000.000.000.000.000;Rendah
16;73;71;80;11;SULAWESI SELATAN;MAKASSAR;UJUNG TANAH;CAMBA BERUA;7371080011;8.229.000.000.000.000.000;Rendah
17;73;71;80;12;SULAWESI SELATAN;MAKASSAR;UJUNG TANAH;CAMBAYA;7371080012;8.229.000.000.000.000.000;Rendah
18;73;71;80;6;SULAWESI SELATAN;MAKASSAR;UJUNG TANAH;TABARINGAN;7371080006;8.229.000.000.000.000.000;Rendah
19;73;71;80;9;SULAWESI SELATAN;MAKASSAR;UJUNG TANAH;GUSUNG;7371080009;8.229.000.000.000.000.000;Rendah
20;73;71;80;7;SULAWESI SELATAN;MAKASSAR;UJUNG TANAH;TOTAKA;7371080007;8.229.000.000.000.000.000;Rendah
21;73;71;50;2;SULAWESI SELATAN;MAKASSAR;UJUNG PANDANG;LOSARI;7371050002;10.752.000.000.000.000.000;Sedang
22;73;71;50;5;SULAWESI SELATAN;MAKASSAR;UJUNG PANDANG;LAJANGIRU;7371050005;10.752.000.000.000.000.000;Sedang
23;73;71;50;10;SULAWESI SELATAN;MAKASSAR;UJUNG PANDANG;PISANG UTARA;7371050010;10.752.000.000.000.000.000;Sedang
24;73;71;50;7;SULAWESI SELATAN;MAKASSAR;UJUNG PANDANG;MALOKU;7371050007;10.752.000.000.000.000.000;Sedang
25;73;71;50;9;SULAWESI SELATAN;MAKASSAR;UJUNG PANDANG;BARU;7371050009;10.752.000.000.000.000.000;Sedang
26;73;71;50;8;SULAWESI SELATAN;MAKASSAR;UJUNG PANDANG;BULOGADING;7371050008;10.752.000.000.000.000.000;Sedang
27;73;71;50;4;SULAWESI SELATAN;MAKASSAR;UJUNG PANDANG;PISANG SELATAN;7371050004;10.752.000.000.000.000.000;Sedang
28;73;71;50;3;SULAWESI SELATAN;MAKASSAR;UJUNG PANDANG;MANGKURA;7371050003;10.752.000.000.000.000.000;Sedang
29;73;71;50;6;SULAWESI SELATAN;MAKASSAR;UJUNG PANDANG;SAWERIGADING;7371050006;10.752.000.000.000.000.000;Sedang
30;73;71;30;3;SULAWESI SELATAN;MAKASSAR;TAMALATE;MACCINI SOMBALA;7371030003;9.436.000.000.000.000.000;Sedang
31;73;71;30;2;SULAWESI SELATAN;MAKASSAR;TAMALATE;TANJUNG MERDEKA;7371030002;9.436.000.000.000.000.000;Sedang
32;73;71;30;8;SULAWESI SELATAN;MAKASSAR;TAMALATE;MANNURUKI;7371030008;9.436.000.000.000.000.000;Sedang
